ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948043,2250,,2250,ASM Clermont Auvergne,0.00,4.48,0,1,48,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:32Z,0,0,0,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,,,,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
1,948043,31724,Joris Segonds,4850,Bayonne,0.00,4.48,0,1,48,35,85,10,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,37,45,26,0,2026-02-28T13:30:32Z,1,0,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,10,10,Fly Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
2,948043,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4.48,4.48,5,1,15,58,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:36Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,13,13,Outside Centre,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
3,948043,0,,2250,ASM Clermont Auvergne,4.48,4.48,5,1,15,58,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,0,0,0,2026-02-28T13:30:36Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,,,,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
4,948043,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4.48,4.76,5,1,15,58,16,58,1,Carry,105,Restart Return,119,Error,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2026-02-28T13:30:36Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,13,13,Outside Centre,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,31657,Guillaume Martocq,4850,Bayonne,5
5,948043,31657,Guillaume Martocq,4850,Bayonne,4.64,4.64,5,1,84,10,0,0,2,Tackle,142,Chase,156,Turnover Won,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:36Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,13,13,Outside Centre,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4
6,948043,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4.76,4.76,5,1,16,58,0,0,8,Turnover,256,Lost Ball Forced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:37Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,13,13,Outside Centre,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
7,948043,0,,2250,ASM Clermont Auvergne,4.48,6.16,6,1,15,58,22,60,15,Possession,307,50m Restart,318,Turnover,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,7,0,0,0,2026-02-28T13:30:36Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,,,,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
8,948043,32292,Alexandre Fischer,4850,Bayonne,5.96,5.96,6,1,81,9,0,0,18,Collection,274,Defensive Loose Ball,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:38Z,1,1,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,06,6,Blindside Flanker,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
9,948043,39489,Arnaud Erbinartegaray,4850,Bayonne,6.16,6.16,6,1,78,8,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:38Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,11,11,Left Wing,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
10,948043,39489,Arnaud Erbinartegaray,4850,Bayonne,6.36,12.44,7,1,80,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,8,2026-02-28T13:30:38Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,11,11,Left Wing,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,33800,Baptiste Germain,4850,Bayonne,16
11,948043,0,,4850,Bayonne,6.36,24.64,7,1,80,9,69,46,46,Attacking 22 Entry,646,22 Entry Outcome - Turnover,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:38Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,,,,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
12,948043,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,8.16,8.16,8,1,20,59,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:22Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,13,13,Outside Centre,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
13,948043,21764,Ignacio Calles,4850,Bayonne,9.12,9.12,9,1,80,9,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:41Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,01,1,Loosehead Prop,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
14,948043,37222,Anthime Hemery,2250,ASM Clermont Auvergne,9.64,9.64,10,1,20,59,0,0,43,Ruck OOA,800,Other Defensive Arrival,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:42Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,07,7,Openside Flanker,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
15,948043,23730,Alex Moon,4850,Bayonne,10.52,10.52,11,1,80,9,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:43Z,1,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,05,5,Lock (5),0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
16,948043,33800,Baptiste Germain,4850,Bayonne,12.44,12.44,13,1,80,9,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:44Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,09,9,Scrum Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
17,948043,33800,Baptiste Germain,4850,Bayonne,12.44,12.44,13,1,80,9,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:44Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,09,9,Scrum Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
18,948043,33800,Baptiste Germain,4850,Bayonne,12.96,14.52,13,1,78,8,72,17,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,9,11,6,0,2026-02-28T13:30:45Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,09,9,Scrum Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,37962,Tevita Tatafu,4850,Bayonne,20
19,948043,0,,4850,Bayonne,13.00,13.00,13,1,80,9,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:43Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,,,,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
20,948043,37962,Tevita Tatafu,4850,Bayonne,14.52,14.52,15,1,72,17,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:47Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,03,3,Tighthead Prop,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
21,948043,37962,Tevita Tatafu,4850,Bayonne,14.52,14.52,15,1,72,17,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:47Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,03,3,Tighthead Prop,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
22,948043,37962,Tevita Tatafu,4850,Bayonne,14.52,15.36,15,1,72,17,77,17,1,Carry,101,One Out Drive,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,5,1,1,2026-02-28T13:30:47Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,03,3,Tighthead Prop,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,31684,Cristian Ojovan,2250,ASM Clermont Auvergne,24
23,948043,37963,Lucas Martin,4850,Bayonne,14.60,14.60,15,1,76,17,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:46Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,02,2,Hooker,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
24,948043,31684,Cristian Ojovan,2250,ASM Clermont Auvergne,14.64,14.64,15,1,24,51,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:47Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,03,3,Tighthead Prop,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,37962,Tevita Tatafu,4850,Bayonne,22
25,948043,27153,Selevasio Tolofua,2250,ASM Clermont Auvergne,14.88,14.88,15,1,24,51,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:47Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,08,8,Number 8,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,37962,Tevita Tatafu,4850,Bayonne,22
26,948043,37962,Tevita Tatafu,4850,Bayonne,15.36,16.68,16,1,77,17,0,0,23,Ruck,0,,401,Won Outright,549,Behind Previous Gainline,553,1-2 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-8,30,2026-02-28T13:30:47Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,03,3,Tighthead Prop,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,33800,Baptiste Germain,4850,Bayonne,29
27,948043,37963,Lucas Martin,4850,Bayonne,15.88,15.88,16,1,77,17,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:48Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,02,2,Hooker,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
28,948043,22476,Baptiste Chouzenoux,4850,Bayonne,15.92,15.92,16,1,77,17,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:48Z,2,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,07,7,Openside Flanker,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
29,948043,33800,Baptiste Germain,4850,Bayonne,16.68,16.68,17,1,77,16,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:49Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,09,9,Scrum Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
30,948043,33800,Baptiste Germain,4850,Bayonne,16.68,16.68,17,1,77,16,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:49Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,09,9,Scrum Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
31,948043,33800,Baptiste Germain,4850,Bayonne,17.48,18.72,18,1,75,17,68,28,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,12,14,7,0,2026-02-28T13:30:49Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,09,9,Scrum Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,23730,Alex Moon,4850,Bayonne,32
32,948043,23730,Alex Moon,4850,Bayonne,18.72,18.72,19,1,68,28,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:51Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,05,5,Lock (5),0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
33,948043,23730,Alex Moon,4850,Bayonne,18.72,18.72,19,1,68,28,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:51Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,05,5,Lock (5),0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
34,948043,23730,Alex Moon,4850,Bayonne,18.72,19.12,19,1,68,28,72,29,1,Carry,101,One Out Drive,121,Pass,111,Failed Gain line,0,,500,0 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,4,0,0,2026-02-28T13:30:51Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,05,5,Lock (5),0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
35,948043,23730,Alex Moon,4850,Bayonne,19.12,20.04,19,1,72,29,66,33,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,4,8,6,0,2026-02-28T13:30:51Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,05,5,Lock (5),0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,31724,Joris Segonds,4850,Bayonne,36
36,948043,31724,Joris Segonds,4850,Bayonne,20.04,20.04,20,1,66,33,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:52Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,10,10,Fly Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
37,948043,31724,Joris Segonds,4850,Bayonne,20.08,21.40,20,1,69,36,64,42,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,702,2nd Receiver,0,,0,,0,,0,,0,,7,8,5,0,2026-02-28T13:30:52Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,10,10,Fly Half,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,33804,Cheikh Tiberghien,4850,Bayonne,38
38,948043,33804,Cheikh Tiberghien,4850,Bayonne,21.40,21.40,22,1,64,42,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:53Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,15,15,Full Back,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
39,948043,33804,Cheikh Tiberghien,4850,Bayonne,21.40,24.64,22,1,64,42,69,46,1,Carry,103,Other Carry,119,Error,111,Failed Gain line,462,Ineffective Contact,502,2 Tacklers Committed,703,3rd Receiver,0,,0,,0,,0,,0,5,2,2,2026-02-28T13:30:53Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,15,15,Full Back,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,40
40,948043,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,22.92,22.92,23,1,33,22,0,0,2,Tackle,144,Line,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:55Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,13,13,Outside Centre,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,33804,Cheikh Tiberghien,4850,Bayonne,39
41,948043,33899,Joris Jurand,2250,ASM Clermont Auvergne,23.52,23.52,24,1,33,22,0,0,2,Tackle,144,Line,156,Turnover Won,441,Assist,473,Dominant Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:56Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,11,11,Left Wing,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,33804,Cheikh Tiberghien,4850,Bayonne,39
42,948043,0,,4850,Bayonne,6.16,24.72,25,1,78,8,67,50,15,Possession,308,Turnover Won,318,Turnover,0,,683,Enters into Opposition 22,0,,0,,0,,0,,0,,0,,-10,0,0,0,2026-02-28T13:30:38Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,,,,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
43,948043,33804,Cheikh Tiberghien,4850,Bayonne,24.64,24.64,25,1,69,46,0,0,8,Turnover,256,Lost Ball Forced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:57Z,3,2,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,15,15,Full Back,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
44,948043,33899,Joris Jurand,2250,ASM Clermont Auvergne,24.72,24.72,25,1,33,18,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T13:30:57Z,1,3,1,0,0,2250,ASM Clermont Auvergne,4850,Bayonne,28/02/2026,14:30,24,8,38,15,0,0,82,Stade Marcel Michelin,-1,,18,2026,11,11,Left Wing,0,,0,,1000630,Damian Schneider,-1,,1000932,Thibault Santamaria,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
